"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"6954","25-34",54000,"11 - 20 years","Master's degree","Woman","Media & Digital","Editorial Assistant"
"6955","25-34",40000,"8 - 10 years","College degree","Woman","Nonprofits","Program Manager"
"6956","35-44",71711,"2 - 4 years","Master's degree","Man","Government and Public Administration","Policy Analyst"
"6957","25-34",72500,"8 - 10 years","College degree","Woman","Business or Consulting","Client Services Manager"
"6958","35-44",58000,"11 - 20 years","College degree","Woman","Nonprofits","Certification Manager"
"6959","35-44",82000,"21 - 30 years","College degree","Woman","Government and Public Administration","Emergency Management Planner II"
"6960","25-34",60000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Assistant District Attorney"
"6961","45-54",78500,"21 - 30 years","College degree","Woman","Government and Public Administration","Special Projects Coordinator III"
"6962","35-44",141000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Talent and Culture"
"6963","35-44",166000,"11 - 20 years","PhD","Man","Engineering or Manufacturing","Senior Engineer"
"6964","35-44",45000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Lecturer"
"6965","25-34",81000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Water Resources Manager"
"6966","35-44",75500,"11 - 20 years","Master's degree","Woman","Publishing","Systems Analyst"
"6967","25-34",54600,"5-7 years","College degree","Woman","Media & Digital","Technical Writer"
"6968","55-64",143000,"31 - 40 years","College degree","Woman","Accounting, Banking & Finance","Cost Accounting Senior Manager"
"6969","25-34",50000,"8 - 10 years","College degree","Woman","Art & Design","Lead Designer"
"6970","35-44",178000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Managing Counsel"
"6971","25-34",43500,"2 - 4 years","College degree","Woman","Education (Primary/Secondary)","Social Studies Teacher"
"6972","45-54",91044,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Research Program Manager"
"6973","25-34",68958,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior Policy Analyst"
"6974","25-34",40000,"8 - 10 years","Master's degree","Woman","Nonprofits","Historian"
"6975","25-34",111000,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Manager"
"6976","25-34",57000,"8 - 10 years","Master's degree","Woman","Nonprofits","Public Services Manager"
"6977","35-44",43680,"11 - 20 years","College degree","Woman","Property or Construction","Accounts Payable Clerk"
"6978","25-34",74500,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Senior tax accountant"
"6979","25-34",68000,"2 - 4 years","College degree","Woman","Health care","Program Manager"
"6980","45-54",160000,"21 - 30 years","College degree","Man","Software","Director"
"6981","25-34",135000,"5-7 years","College degree","Man","Computing or Tech","Senior Front End Developer"
"6982","45-54",39000,"21 - 30 years","College degree","Woman","Entertainment","actor"
"6983","35-44",72000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"6984","25-34",52000,"5-7 years","Master's degree","Woman","Environmental Consulting","Staff Geologist"
"6985","35-44",49982,"11 - 20 years","College degree","Woman","Property or Construction","Office Manager/Project Manager Assistant"
"6986","35-44",37000,"8 - 10 years","Master's degree","Woman","Nonprofits","Community and Media Engagement"
"6987","25-34",40881,"2 - 4 years","College degree","Woman","Nonprofits","Office Supervisor"
"6988","25-34",45000,"2 - 4 years","College degree","Woman","Recruitment or HR","Payroll Coordinator"
"6989","35-44",62129,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Faculty Assistant"
"6990","25-34",25000,"11 - 20 years","College degree","Woman","Veterinary","Medical Receptionist"
"6991","35-44",125000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Human Resources"
"6992","35-44",92000,"11 - 20 years","Master's degree","Man","Government and Public Administration","Planning Director"
"6993","18-24",29250,"2 - 4 years","College degree","Woman","Library","Customer Service Specialist"
"6994","25-34",50000,"5-7 years","Master's degree","Woman","Health care","Human Resources"
"6995","25-34",53000,"8 - 10 years","Master's degree","Woman","Social Work","Care manager"
"6996","35-44",100726,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Budget Analyst"
"6997","45-54",2e+05,"21 - 30 years","Master's degree","Woman","Business or Consulting","Sr. Consultant"
"6998","45-54",43000,"21 - 30 years","College degree","Woman","Education (Higher Education)","Records Coordinator"
"6999","25-34",79000,"8 - 10 years","College degree","Woman","Insurance","CLAIMS REPRESENTATIVE"
"7000","25-34",105000,"2 - 4 years","PhD","Woman","Contract Research","Associate"
"7001","45-54",67000,"21 - 30 years","College degree","Woman","Nonprofits","Major Gifts Officer"
"7002","35-44",44850,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Operations Support Specialist"
"7003","35-44",43000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","International Agreements Coordinator (contracts)"
"7004","35-44",53000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Program coordinator"
"7005","25-34",118000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","director, content strategy"
"7006","25-34",190000,"5-7 years","PhD","Man","Computing or Tech","Scientist"
"7007","25-34",133000,"5-7 years","Master's degree","Woman","Computing or Tech","Manager quantitative analysis"
"7008","25-34",98000,"5-7 years","Master's degree","Woman","Health care","Developer II"
"7009","45-54",62800,"21 - 30 years","College degree","Woman","Health care","Executive Assistant III"
"7010","18-24",26000,"5-7 years","College degree","Woman","","Office Supervisor"
"7011","25-34",48000,"8 - 10 years","Master's degree","Woman","Nonprofits","Development associate"
"7012","45-54",41000,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Registrar"
"7013","45-54",57000,"21 - 30 years","College degree","Woman","Health care","RN"
"7014","25-34",40880,"5-7 years","College degree","Woman","Property or Construction","Tenant Services Coordinator"
"7015","25-34",109000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","associate attorney"
"7016","35-44",110000,"21 - 30 years","College degree","Woman","Computing or Tech","Web Developer"
"7017","45-54",62000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Library Director (Public Library)"
"7018","25-34",112500,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Internal Audit Manager"
"7019","25-34",110000,"2 - 4 years","College degree","Man","Computing or Tech","Software Engineer"
"7020","25-34",125000,"8 - 10 years","PhD","Woman","Agriculture or Forestry","Business Development Manager"
"7021","35-44",78000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Counsel"
"7022","25-34",36000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"7023","25-34",113000,"5-7 years","College degree","Woman","Computing or Tech","Senior Software Consultant"
"7024","25-34",106600,"8 - 10 years","College degree","Woman","Recruitment or HR","Recruiting Lead"
"7025","35-44",110000,"8 - 10 years","PhD","Woman","Biotech","Scientist"
"7026","35-44",50000,"21 - 30 years","PhD","Woman","Publishing","Author"
"7027","45-54",65000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Accounts Payable Supervisor"
"7028","35-44",120000,"21 - 30 years","College degree","Woman","Computing or Tech","QA manager"
"7029","25-34",30000,"11 - 20 years","College degree","Woman","Nonprofits","Office Assistant"
"7030","35-44",54000,"8 - 10 years","PhD","Woman","scientific research","Scientific Programmer"
"7031","25-34",71000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Resident Civil Engineer"
"7032","25-34",52000,"8 - 10 years","Master's degree","Woman","Social Work","Social Worker"
"7033","18-24",48230,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Borough Manager"
"7034","25-34",65000,"5-7 years","College degree","Woman","Education (Higher Education)","Annual Giving Manager"
"7035","25-34",70200,"5-7 years","Master's degree","Woman","Research","Analyst"
"7036","25-34",41600,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Staff Accountant"
"7037","65 or over",160000,"41 years or more","Master's degree","Man","Entertainment","Staff Software Engineer"
"7038","25-34",33280,"2 - 4 years","Master's degree","Woman","Nonprofits","Collections librarian"
"7039","25-34",76000,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Transportation Planner"
"7040","35-44",151810,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Health care","Ambulatory care pharmacist"
"7041","45-54",150000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Process Engineer"
"7042","25-34",58000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Quality Systems Coordinator"
"7043","35-44",82000,"11 - 20 years","College degree","Man","Media & Digital","Digital Editor"
"7044","35-44",130000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director"
"7045","25-34",88000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Regional Director"
"7046","25-34",68000,"5-7 years","College degree","Woman","Computing or Tech","Product Owner"
"7047","25-34",68000,"5-7 years","College degree","Woman","Computing or Tech","Strategic Writer"
"7048","55-64",45000,"21 - 30 years","College degree","Woman","Retail","Senior manager"
"7049","25-34",35360,"8 - 10 years","College degree","Woman","Tailoring Service","Senior Fitter"
"7050","35-44",55000,"21 - 30 years","College degree","Woman","Nonprofits","Administrative Assistant"
"7051","25-34",68500,"5-7 years","PhD","Woman","Nonprofits","Director of Evaluation"
"7052","35-44",42000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Representative"
"7053","25-34",46725,"8 - 10 years","Master's degree","Woman","Nonprofits","Program Coordinator"
"7054","55-64",66000,"31 - 40 years","College degree","Woman","Health care","Medical Coding"
"7055","45-54",81473,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Administrative Assistant"
"7056","25-34",133000,"11 - 20 years","College degree","Woman","Computing or Tech","Lead User Interface Engineer"
"7057","25-34",185000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney"
"7058","25-34",155000,"5-7 years","College degree","Woman","Computing or Tech","Software developer"
"7059","25-34",128000,"11 - 20 years","College degree","Woman","Computing or Tech","Customer Success Manager"
"7060","35-44",99250,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Senior Deputy Attorney General"
"7061","45-54",61000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Senior Academic Advisor"
"7062","25-34",60000,"5-7 years","College degree","Woman","Nonprofits","Engagement Manager"
"7063","25-34",45600,"2 - 4 years","College degree","Woman","Government and Public Administration","Enforcement Specialist II"
"7064","45-54",60000,"21 - 30 years","College degree","Woman","Health care","Pharmacy Technician"
"7065","35-44",80000,"8 - 10 years","Master's degree","Woman","Health care","RN"
"7066","45-54",90000,"21 - 30 years","Master's degree","Woman","Utilities & Telecommunications","Technical Program Manager"
"7067","45-54",35360,"8 - 10 years","College degree","Woman","Law","Paralegal"
"7068","25-34",130000,"8 - 10 years","High School","Man","Government and Public Administration","Systems Administrator"
"7069","45-54",85000,"21 - 30 years","PhD","Woman","Computing or Tech","Senior aviation content adminstrator"
"7070","25-34",40768,"8 - 10 years","College degree","Woman","Education (Higher Education)","Digital Scholarship Strategist"
"7071","25-34",50000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Assistant Public Defender"
"7072","35-44",95000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Software QA Manager"
"7073","25-34",89000,"5-7 years","Master's degree","Woman","veterinary biotech","senior systems engineer"
"7074","35-44",67000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Records Administrator"
"7075","35-44",143000,"11 - 20 years","College degree","Man","Computing or Tech","Director of Customer Experience"
"7076","25-34",56200,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Staff writer"
"7077","55-64",65000,"21 - 30 years","College degree","Woman","Computing or Tech","Business Analyst"
"7078","35-44",92000,"11 - 20 years","Master's degree","Man","Nonprofits","Senior Advisor"
"7079","35-44",125000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Partner"
"7080","25-34",185000,"8 - 10 years","College degree","Man","Computing or Tech","Manager, Product Management"
"7081","55-64",89000,"21 - 30 years","College degree","Woman","Government and Public Administration","Executive Assistant"
"7082","25-34",74000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Communications Manager"
"7083","25-34",65000,"11 - 20 years","Master's degree","Woman","Nonprofits","Research and Data Analyst"
"7084","18-24",57000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Staff accountant"
"7085","35-44",150000,"11 - 20 years","Master's degree","Man","Computing or Tech","Senior Software Engineer"
"7086","18-24",52200,"2 - 4 years","College degree","Woman","Health care","Medical Technologist II"
"7087","35-44",62364,"11 - 20 years","College degree","Woman","Computing or Tech","Senior System Analyst"
"7088","25-34",56000,"5-7 years","Master's degree","Woman","Health care","Impact Manager"
"7089","35-44",1e+05,"21 - 30 years","Master's degree","Woman","Health care","psychotherapist"
"7090","25-34",40000,"11 - 20 years","College degree","Woman","Law","Paralegal"
"7091","25-34",60000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Public Affairs Coordinator"
"7092","45-54",70000,"21 - 30 years","High School","Woman","Social Work","Director"
"7093","35-44",165000,"11 - 20 years","Master's degree","Woman","Nonprofits","Senior Program Manager"
"7094","35-44",64000,"11 - 20 years","College degree","Woman","Computing or Tech","Distance Learning Specialist"
"7095","35-44",83400,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","IT Auditor"
"7096","35-44",195000,"11 - 20 years","Master's degree","Woman","Utilities & Telecommunications","Manager of Health & Safety"
"7097","35-44",73236,"11 - 20 years","College degree","Man","Education (Higher Education)","Systems Administrator 2"
"7098","55-64",60350,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Associate Professor, Library"
"7099","25-34",75000,"5-7 years","College degree","Woman","Computing or Tech","Customer support engineer"
"7100","45-54",275000,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Group Director, Analytics & Insights"
"7101","25-34",80000,"2 - 4 years","College degree","Woman","Media & Digital","Digital Director"
"7102","25-34",150000,"5-7 years","PhD","Woman","Engineering or Manufacturing","Scientist"
"7103","25-34",70000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Administrative Assistant"
"7104","45-54",78000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Cataloging Librarian"
"7105","35-44",65000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"7106","35-44",175000,"11 - 20 years","Master's degree","Woman","Biotech/Pharma","Director, Clinical Operations"
"7107","35-44",41000,"5-7 years","High School","Woman","Small business/service company","Admin Asst"
"7108","35-44",77000,"5-7 years","Master's degree","Woman","Media & Digital","Sr Data Analyst"
"7109","45-54",165000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","1x1 coordinator"
"7110","45-54",250000,"21 - 30 years","College degree","Man","Computing or Tech","Vice President of Engineering"
"7111","25-34",62000,"8 - 10 years","College degree","Woman","Health care","Medical laboratory scientist"
"7112","35-44",95000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Manager, Digital Fundraising"
"7113","35-44",48500,"11 - 20 years","Master's degree","Woman","Biotech Research","Bioinformaticist"
"7114","35-44",13000,"11 - 20 years","College degree","Woman","Computing or Tech","Manager of Customer Support"
"7115","18-24",60800,"2 - 4 years","Master's degree","Woman","Education (Higher Education)","Academic Librarian"
"7116","25-34",48000,"5-7 years","College degree","Woman","Property or Construction","Title Speciaist"
"7117","25-34",64338,"11 - 20 years","College degree","Woman","Hospitality & Events","Benefits Manager"
"7118","18-24",39520,"5-7 years","College degree","Woman","Nonprofits","Senior Customer Service Representative"
"7119","35-44",45000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Specialist"
"7120","35-44",43000,"11 - 20 years","College degree","Man","Retail","Store Manager"
"7121","25-34",65000,"5-7 years","College degree","Woman","Media & Digital","magazine staff writer"
"7122","25-34",51500,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Communications Coordinator"
"7123","35-44",135000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Sales Manager"
"7124","45-54",58000,"21 - 30 years","College degree","Woman","Law","Marketing communications assistant"
"7125","25-34",74000,"5-7 years","Master's degree","Woman","Retail","Senior Analyst, Sourcing"
"7126","25-34",63000,"5-7 years","Master's degree","Woman","Social Work","Supervisor"
"7127","25-34",32000,"2 - 4 years","College degree","Woman","Education (Primary/Secondary)","Communications Specialist"
"7128","45-54",99400,"21 - 30 years","Master's degree","Woman","Utilities & Telecommunications","Business Control Analyst"
"7129","35-44",35172,"11 - 20 years","College degree","Woman","Information services (library)","interlibrary loan coordinator"
"7130","35-44",75867,"5-7 years","Master's degree","Woman","Government and Public Administration","Fish Biologist"
"7131","25-34",80000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Digital Strategy Manager"
"7132","35-44",65000,"11 - 20 years","Master's degree","Woman","Nonprofits","Grants Manager"
"7133","35-44",58710,"11 - 20 years","Master's degree","Woman","Nonprofits","Prospect Researcher"
"7134","45-54",220000,"31 - 40 years","College degree","Man","Marketing, Advertising & PR","Senior Vice President"
"7135","35-44",75000,"11 - 20 years","College degree","Woman","Nonprofits","Communication manager"
"7136","25-34",35500,"11 - 20 years","College degree","Woman","Education (Primary/Secondary)","Supply Officer"
"7137","35-44",106000,"21 - 30 years","Master's degree","Man","Insurance","Product Support"
"7138","35-44",53461,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Paralegal"
"7139","45-54",230000,"21 - 30 years","College degree","Woman","Computing or Tech","VP, Global Channels"
"7140","45-54",81000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Library Director"
"7141","25-34",70000,"8 - 10 years","Master's degree","Woman","Nonprofits","Grants Manager"
"7142","25-34",230000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"7143","25-34",35028,"11 - 20 years","College degree","Woman","Government and Public Administration","Librarian"
"7144","25-34",42500,"8 - 10 years","College degree","Woman","Nonprofits","Administrative Assistant"
"7145","25-34",64000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Senior Reporting and Budget Analyst"
"7146","35-44",81500,"21 - 30 years","Master's degree","Man","Nonprofits","Director of Professional Development"
"7147","55-64",132000,"41 years or more","College degree","Woman","Computing or Tech","senior consultant"
"7148","25-34",46000,"5-7 years","College degree","Woman","Education (Higher Education)","Program Coordinator"
"7149","65 or over",120000,"41 years or more","College degree","Man","Computing or Tech","consultant engineer"
"7150","35-44",95000,"11 - 20 years","Master's degree","Woman","Nonprofits","Associate Director, Grants and Scientific Programs"
"7151","55-64",32000,"31 - 40 years","College degree","Woman","Education (Primary/Secondary)","Instructional Assistant"
"7152","25-34",92000,"5-7 years","College degree","Man","Engineering or Manufacturing","Mechanical Engineer II"
"7153","45-54",154000,"21 - 30 years","PhD","Man","Engineering or Manufacturing","Chief Engineer"
"7154","45-54",150000,"21 - 30 years","Master's degree","Woman","Engineering or Manufacturing","Senior Investigator"
"7155","25-34",52000,"8 - 10 years","Master's degree","Woman","Health care","Health Researcher"
"7156","55-64",70500,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Senior Librarian"
"7157","25-34",29000,"5-7 years","College degree","Woman","Food Service","Bartender/Server"
"7158","35-44",85000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney and regulatory compliance director"
"7159","25-34",50000,"8 - 10 years","College degree","Woman","Hospitality & Events","Assistant Director of Finance"
"7160","18-24",70000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Mechanical Engineer"
"7161","35-44",81300,"8 - 10 years","Master's degree","Woman","Computing or Tech","Senior Operations Manager"
"7162","45-54",90000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Lead Software Designer"
"7163","35-44",0,"21 - 30 years","Master's degree","Woman","Stay-at-home parent","""""mum"""" ;)"
"7164","35-44",150000,"8 - 10 years","College degree","Woman","Business or Consulting","Manager of Customer Success"
"7165","35-44",127000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Associate Professor"
"7166","45-54",49000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"7167","55-64",91000,"21 - 30 years","College degree","Woman","Insurance","Claims/risk mgmt"
"7168","35-44",162000,"11 - 20 years","College degree","Woman","Nonprofits","senior vice president"
"7169","45-54",170000,"31 - 40 years","Master's degree","Woman","Government and Public Administration","Laboratory Manager"
"7170","18-24",50000,"2 - 4 years","College degree","Woman","Politics","Fundraising Associate"
"7171","25-34",138000,"5-7 years","Master's degree","Woman","Computing or Tech","Communications Strategist"
"7172","45-54",114000,"21 - 30 years","Master's degree","Woman","Real estate software","Senior Product Manager"
"7173","25-34",103000,"8 - 10 years","College degree","Man","Computing or Tech","Front End Engineer"
"7174","25-34",62000,"5-7 years","Master's degree","Woman","Nonprofits","Assistant program officer"
"7175","55-64",4e+05,"21 - 30 years","College degree","Man","Commercial Building Material Distribution","Senior Vice President"
"7176","35-44",94000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Research Engineer"
"7177","35-44",55120,"11 - 20 years","College degree","Woman","Health care","Payroll Accountant"
"7178","25-34",69000,"11 - 20 years","Master's degree","Woman","Marketing, Advertising & PR","Brand Marketing Manager"
"7179","45-54",80000,"8 - 10 years","College degree","Woman","Recruitment or HR","Manager"
"7180","55-64",56000,"11 - 20 years","PhD","Woman","Education (Primary/Secondary)","Science Teacher"
"7181","25-34",74000,"5-7 years","Master's degree","Woman","Nonprofits","Senior Communications Manager"
"7182","35-44",62000,"11 - 20 years","Master's degree","Woman","Libraries","Adult Services Librarian"
"7183","25-34",91000,"2 - 4 years","Master's degree","Woman","Engineering or Manufacturing","Mechanical Engineer"
"7184","25-34",152000,"5-7 years","College degree","Man","Computing or Tech","Senior Software Engineer"
"7185","35-44",117000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Administrative Officer"
"7186","25-34",85000,"11 - 20 years","Master's degree","Woman","Consumer Product Organization","HR Generalist"
"7187","25-34",2e+05,"8 - 10 years","College degree","Woman","Computing or Tech","Partnerships"
"7188","35-44",66805,"11 - 20 years","College degree","Woman","Government and Public Administration","Human Resources Specialist"
"7189","35-44",90000,"11 - 20 years","College degree","Woman","Computing or Tech","Software Developer"
"7190","25-34",64500,"5-7 years","College degree","Woman","Law","Paralegal"
"7191","55-64",170000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Industrial Team Manager"
"7192","25-34",77000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Recruiting Coordinator"
"7193","25-34",105000,"8 - 10 years","College degree","Woman","Media & Digital","Managing editor"
"7194","18-24",48000,"2 - 4 years","College degree","Woman","Insurance","Assistant Controller"
"7195","45-54",94000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Trust Officer"
"7196","45-54",63000,"21 - 30 years","College degree","Woman","Health care","medical coder"
"7197","35-44",1e+05,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Analyst"
"7198","35-44",61000,"11 - 20 years","Master's degree","Woman","Recruitment or HR","Staff Development Coordinator"
"7199","25-34",155000,"8 - 10 years","College degree","Woman","Health care","Project Manager"
"7200","35-44",44000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Library Assistant"
"7201","25-34",80300,"5-7 years","College degree","Woman","Media & Digital","Senior Reporter"
"7202","25-34",67000,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior Director of Operations"
"7203","55-64",82000,"31 - 40 years","College degree","Woman","Law","Senior Paralegal"
"7204","45-54",90000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","English Teacher"
"7205","35-44",85000,"11 - 20 years","College degree","Man","Computing or Tech","Instructional Design"
"7206","25-34",85500,"8 - 10 years","College degree","Woman","Computing or Tech","Customer Success Manager"
"7207","35-44",117000,"21 - 30 years","College degree","Woman","Entertainment","Senior Editor"
"7208","35-44",58000,"21 - 30 years","High School","Man","Utilities & Telecommunications","Industrial Mechanic"
"7209","25-34",37440,"5-7 years","College degree","Woman","Health care","Patient administrative coordinator"
"7210","25-34",76500,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff attorney"
"7211","25-34",51000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Residency Program Coordinator"
"7212","45-54",37000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Finance Assistant"
"7213","35-44",110000,"11 - 20 years","Master's degree","Woman","Utilities & Telecommunications","Data Lead"
"7214","25-34",42140,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Constituent services representative"
"7215","35-44",75500,"11 - 20 years","College degree","Woman","Government and Public Administration","Associate Director"
"7216","45-54",80000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Librarian II"
"7217","35-44",60000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Creative Director"
"7218","35-44",63000,"11 - 20 years","College degree","Man","Nonprofits","Director of Communications"
"7219","35-44",169000,"21 - 30 years","College degree","Woman","","Chief of Staff, Customer Experience"
"7220","65 or over",364000,"31 - 40 years","Master's degree","Woman","Engineering or Manufacturing","Owner"
"7221","35-44",85000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Assistant Professor (Tenure-Track)"
"7222","25-34",106000,"8 - 10 years","Master's degree","Woman","Business or Consulting","Manager"
"7223","35-44",165000,"11 - 20 years","College degree","Woman","Computing or Tech","Content Manager"
"7224","35-44",105000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Database Administrator"
"7225","25-34",135000,"2 - 4 years","PhD","Woman","Computing or Tech","Sr Professional Staff I"
"7226","35-44",129316,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Senior Software Engineer"
"7227","25-34",53000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Virtual High School Teacher"
"7228","25-34",155800,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","VP"
"7229","35-44",39520,"11 - 20 years","College degree","Woman","Nonprofits","Grants & Resource Specialist"
"7230","35-44",77501,"11 - 20 years","College degree","Woman","Law","Office Administrator"
"7231","35-44",190000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Chief Privacy Officer/Counsel"
"7232","45-54",48000,"21 - 30 years","Master's degree","Woman","Public Libraries","Branch Librarian"
"7233","35-44",40700,"11 - 20 years","College degree","Woman","Child care","Lead Teacher"
"7234","25-34",140000,"8 - 10 years","Professional degree (MD, JD, etc.)","Man","Law","Partner"
"7235","55-64",105000,"41 years or more","College degree","Woman","Computing or Tech","Technical Writer"
"7236","25-34",42000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Accounts Receivable Specialist"
"7237","35-44",86000,"21 - 30 years","College degree","Man","Accounting, Banking & Finance","Finance Manager"
"7238","35-44",93000,"11 - 20 years","College degree","Woman","Leisure, Sport & Tourism","Director of Operations"
"7239","25-34",125000,"8 - 10 years","College degree","Woman","Computing or Tech","Program Manager"
"7240","25-34",36000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Hall Director"
"7241","35-44",150000,"11 - 20 years","College degree","Woman","Recruitment or HR","HRBP"
"7242","25-34",42500,"1 year or less","Master's degree","Woman","Government and Public Administration","Program Coordinator"
"7243","55-64",182000,"31 - 40 years","PhD","Woman","Government and Public Administration","Branch Managwr"
"7244","35-44",45000,"8 - 10 years","College degree","Woman","Transport or Logistics","Customer Relations Clerk/Accounts Receivable Clerk"
"7245","35-44",69000,"5-7 years","Master's degree","Man","Government and Public Administration","Senior Technician"
"7246","45-54",52665,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Tribal Librarian"
"7247","35-44",35000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Teachers Aide"
"7248","25-34",72000,"8 - 10 years","College degree","Woman","Insurance","Claims Operations Analyst"
"7249","35-44",65000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Buyer"
"7250","35-44",52000,"5-7 years","College degree","Woman","Education (Primary/Secondary)","Special education teacher"
"7251","45-54",78000,"11 - 20 years","PhD","Woman","Education (Higher Education)","Cataloging Librarian"
"7252","45-54",81391,"31 - 40 years","College degree","Man","Education (Higher Education)","System Administrator"
